instance,seed,arm,included_in_comparison,reported_verdict,verified_sat_model,emergency_timeout,conflicts,instructions,cycles,branches,branch_misses,wall_s,record_id
si2-b03m,4,kissat,True,sat,True,False,45742,11975782535,6359024473,2280697296,31024470,1.774909,87a2955aad7a7516
si2-b03m,5,baseline,True,sat,True,False,51067,33249303651,11535522875,7828990502,62319073,2.670251,d5d94388ad7d6d8c
si2-b03m,5,cadical,True,sat,True,False,33382,22845215313,9855696532,3970822046,38256659,2.423363,64e54eaadb5e69c8
si2-b03m,5,kissat,True,sat,True,False,46789,11873076714,4929418514,2273106130,29409487,1.268001,2f6a81cf3f110661
si2-b03m,6,baseline,True,sat,True,False,30532,22083075502,7468850775,5236934858,32366575,1.77193,b3e5ce1aaa32e933
si2-b03m,6,cadical,True,sat,True,False,24829,24635297747,10826345737,4409626005,61018134,2.570073,0b0c882e06c78035
si2-b03m,6,kissat,True,sat,True,False,35371,10870410995,4333935792,2091156720,24977217,1.117636,81fe6cd70ccd3a9d
si2-b03m,7,baseline,False,sat,True,False,38537,26603693225,8640104149,6294526833,43298195,2.020395,9a528ccc972ee020
si2-b03m,7,cadical,False,sat,True,False,26270,19717124281,7820863107,3422797695,32236324,1.920432,86e6cddf9c866f2d
si2-b03m,7,kissat,False,sat,True,False,45917,11882950235,4616172052,2268656656,29859872,1.167587,dcb28f9b03d77c30
summle_x4044,1,baseline,True,sat,True,False,55755,63674013992,39235111029,14803634680,321053103,8.680857,03ee0d5f8a49da7b
summle_x4044,1,cadical,True,sat,True,False,133209,85040973452,53420146769,13022149168,657975026,11.786589,68e78f527c2ae292
summle_x4044,1,kissat,True,sat,True,False,52589,43438003635,25261190825,6690239866,290623922,5.573862,5a26ca41230a5780
summle_x4044,2,baseline,True,sat,True,False,24081,29521810873,15466636455,6717207067,124314649,3.471959,07885e66cb9cf919
summle_x4044,2,cadical,True,sat,True,False,62067,47831313772,25611092433,7475371060,319622313,5.681287,8ed2b319760dd8d5
summle_x4044,2,kissat,True,sat,True,False,51270,38774413135,19965868530,5960051928,261790975,4.424296,5806eaae50565529
summle_x4044,3,baseline,True,sat,True,False,117077,146707633962,84741678419,34183888107,838004284,18.662771,85c9cfb180dfc8fc
summle_x4044,3,cadical,True,sat,True,False,64549,49215699435,26047347829,7700838077,326721549,5.776043,8a598e72d234eccd
summle_x4044,3,kissat,True,sat,True,False,28505,28121544626,13907761964,4308067479,172029159,3.123341,7de4ad5f1dea95e2
summle_x4044,4,baseline,True,sat,True,False,95276,119541805272,68161432741,28015593228,660368050,15.042981,6f9bf11ead8b3c72
summle_x4044,4,cadical,True,sat,True,False,78865,59019997754,34002120471,9201523011,413278296,7.587387,f526646682bc112a
summle_x4044,4,kissat,True,sat,True,False,45929,37505202871,19455718984,5745603567,248816640,4.323066,e4c513eb40eb04bb
summle_x4044,5,baseline,True,sat,True,False,146427,178031068491,102969106056,41572376948,1054582733,22.699465,e3cd4eef3741b90b
summle_x4044,5,cadical,True,sat,True,False,166716,108480309503,61687741188,16638521182,854926905,13.591972,040fd97ea1b7407c
summle_x4044,5,kissat,True,sat,True,False,51763,37436584926,19268003094,5777805321,252120568,4.27705,cd1307f90587b39c
summle_x4044,6,baseline,True,sat,True,False,36144,43294760799,23815895475,9930800745,199338297,5.325737,d8a74ad322608b7b
summle_x4044,6,cadical,True,sat,True,False,63114,47420096529,26032003804,7416058830,315613351,5.775749,dbbbcdb0669dfb0a
summle_x4044,6,kissat,True,sat,True,False,46861,37015090415,19640856521,5666060091,245688550,4.379595,bb6f2105b71b52de
summle_x4044,7,baseline,False,sat,True,False,77770,94720719984,51477649302,22077455882,505811289,11.381847,1431ebbc349183a9
summle_x4044,7,cadical,False,sat,True,False,139542,92259052758,51757815100,14215133758,701880026,11.43207,9383ba892a608f07
summle_x4044,7,kissat,False,sat,True,False,46829,34826443914,17790781513,5364829300,233173710,3.973415,fbfff3df145d6ca3
